Category,One-Liner (Code Effeciency)
Data Engineering,"from sqlalchemy import create_engine; engine=create_engine('postgresql://user:pw@localhost/db'); df.to_sql('table',engine)  # Save DF to SQL"
Data Engineering,import requests; data=requests.get('https://api.github.com').json()  # API call
Data Engineering,import os; files=os.listdir('.')  # List files
Data Engineering,import datetime; now=datetime.datetime.now().strftime('%Y-%m-%d')  # Current date
Data Engineering,"df['col'].fillna(0, inplace=True)  # Fill missing values in pandas"
Data Handling / Pandas,import pandas as pd; df=pd.read_csv('data.csv')  # Read CSV
Data Handling / Pandas,df.describe()  # Summary stats
Data Handling / Pandas,df.fillna(0)  # Fill missing values
Data Handling / Pandas,df[df['col']>10]  # Filter rows
Data Handling / Pandas,df.groupby('col').sum()  # Group & aggregate
Datetime / OS / Utilities,import datetime; datetime.datetime.now()  # Current date/time
Datetime / OS / Utilities,datetime.datetime.now().strftime('%Y-%m-%d')  # Format timestamp
Datetime / OS / Utilities,import os; os.listdir('.')  # List files
Datetime / OS / Utilities,import os; os.path.exists('file.txt')  # Check existence
Datetime / OS / Utilities,"import random; random.randint(1,10)  # Random number"
Dictionaries,{x:x**2 for x in range(5)}  # Dict comprehension
Dictionaries,"{v:k for k,v in {'a':1,'b':2}.items()}  # Invert dict"
Dictionaries,"{**{'a':1}, **{'b':2}}  # Merge dicts"
Dictionaries,"val = {'a':1}.get('b',0)  # Default value with get()"
Dictionaries,from collections import Counter; Counter('supplychain')  # Frequency count
Dicts & Sets,squares = {x:x**2 for x in range(5)}  # Dict comprehension
Dicts & Sets,from collections import Counter; counts = Counter('supplychain')  # Frequency count
Dicts & Sets,"inverted = {v:k for k,v in {'a':1,'b':2}.items()}  # Invert dict"
Dicts & Sets,set1 & set2  # Set intersection
Dicts & Sets,set1 | set2  # Set union
Exceptions,"try:1/0
except:print('error')  # Try/except one-liner"
Exceptions,raise ValueError('bad input')  # Raise exception
Exceptions,"assert x>0, 'x must be positive'  # Assertion"
File & Data Handling,data = open('file.txt').read()  # Read file
File & Data Handling,with open('file.txt') as f: data = f.read()  # Context manager
File & Data Handling,import csv; rows = list(csv.DictReader(open('file.csv')))  # CSV to list of dicts
File & Data Handling,import json; data = json.load(open('data.json'))  # Load JSON
